ordno ,custno ,name            ,postcode   ,city      ,region ,regionmgr ,mgrnm ,salespers ,salesnm ,orddate    ,deldate    ,paydate    ,quantity ,prodno ,proddescr                     ,catdescr       ,price ,linetotal
 1001 ,    15 ,Boer. de        ,5463ZK1003 ,Veghel    ,GVGH   ,      806 ,Karel ,      805 ,Harrie  ,2020-01-06 ,2020-01-09 ,2020-01-18 ,       9 ,   408 ,Soja Chocolademelk Biologisch ,organic food   ,17.88 ,   160.92
 1002 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      805 ,Harrie  ,2020-01-07 ,2020-01-09 ,2020-01-17 ,       6 ,   407 ,Zwezerik                      ,luxury food    ,14.25 ,    85.5
 1002 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      805 ,Harrie  ,2020-01-07 ,2020-01-09 ,2020-01-17 ,      15 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   315
 1003 ,    13 ,Heiden. van der ,5701HT21   ,Helmond   ,RHMD   ,      803 ,Gerda ,      806 ,Karel   ,2020-01-08 ,2020-01-13 ,2020-01-29 ,      18 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   425.7
 1004 ,    19 ,Zuur            ,5463KK103  ,Veghel    ,GVGH   ,      806 ,Karel ,      806 ,Karel   ,2020-01-14 ,2020-01-20 ,2020-01-24 ,       7 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,    52.5
 1005 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      803 ,Gerda   ,2020-01-19 ,2020-01-23 ,2020-01-26 ,      19 ,   406 ,Sojamelk Naturel Biologisch   ,organic food   , 7.5  ,   142.5
 1006 ,    11 ,Jansen          ,5645KZ1    ,Eindhoven ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-01-20 ,2020-01-23 ,2020-01-30 ,      21 ,   411 ,Sojamelk Gezoet Biologisch    ,organic food   ,19.95 ,   418.95
 1007 ,    17 ,Jansen          ,5701TT17   ,Helmond   ,RHMD   ,      803 ,Gerda ,      802 ,Klaas   ,2020-01-20 ,2020-01-25 ,2020-01-28 ,      16 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   378.4
 1008 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      801 ,Herman  ,2020-01-21 ,2020-01-24 ,2020-02-10 ,       8 ,   410 ,Soja Vanillevla Biologisch    ,organic food   ,21    ,   168
 1009 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-01-22 ,2020-01-25 ,2020-01-30 ,       5 ,   401 ,Kaviaar                       ,luxury food    ,23.65 ,   118.25
 1009 ,    16 ,Velzenmaker     ,5625BT24   ,Eindhoven ,REHV   ,      802 ,Klaas ,      803 ,Gerda   ,2020-01-22 ,2020-01-25 ,2020-01-30 ,      20 ,   402 ,Ganzenlever                   ,luxury food    ,83.6  ,  1672
